Date,AK홀딩스,BGF,BGF리테일,BNK금융지주,CJ,CJ CGV,CJ대한통운,CJ제일제당,DB손해보험,DB하이텍,DGB금융지주,GKL,GS,GS건설,GS리테일,HDC,HDC현대산업개발,HSD엔진,JW중외제약,JW홀딩스,KB금융,케이씨씨,KC그린홀딩스,KISCO홀딩스,KPX케미칼,케이티,케이티앤지,LF,LG,LG디스플레이,LG상사,LG생명과학,LG생활건강,LG유플러스,LG이노텍,LG전자,LG하우시스,LG화학,LIG넥스원,LS,LS산전,NAVER,NH투자증권,OCI,포스코,S&TC,S&T모티브,S&T중공업,S-Oil,SBS,SK,SKC,SK네트웍스,SK디스커버리,SK이노베이션,SK케미칼,SK텔레콤,SK하이닉스,SPC삼립,STX,STX엔진,STX조선해양,STX중공업,티비에이치글로벌,강원랜드,경방,고려아연,고려제강,광동제약,광전자,국도화학,금호산업,금호석유화학,금호전기,금호타이어,기아자동차,기업은행,남양유업,남해화학,넥센타이어,넷마블,녹십자,녹십자홀딩스,농심,대교,대구은행,대덕GDS,대덕전자,대림산업,대상,대우건설,대우조선해양,대웅제약,대원강업,대한유화,대한전선,대한제강,대한제당,대한제분,대한항공,도레이케미칼,동국제강,동부제철,동서,동아쏘시오홀딩스,동아에스티,동양,동원F&B,동원시스템즈,동일산업,동화약품,두산,두산밥캣,두산인프라코어,두산중공업,디와이,디티알오토모티브,락앤락,롯데쇼핑,롯데정밀화학,롯데지주,롯데칠성음료,롯데케미칼,롯데푸드,롯데하이마트,만도,메리츠종금증권,모토닉,무림P&P,무림페이퍼,무학,미래에셋대우,미래에셋증권,벽산,보령제약,부광약품,부산은행,빙그레,사조동아원,삼광글라스,삼성SDI,삼성물산,삼성바이오로직스,삼성생명,삼성에스디에스,삼성엔지니어링,삼성전기,삼성전자,삼성중공업,삼성증권,삼성카드,삼성화재해상보험,삼양사,삼양제넥스,삼양홀딩스,삼영전자공업,삼진제약,서연,서흥,세방전지,세아베스틸,세아제강지주,세원셀론텍,세종공업,세하,셀트리온,송원산업,신도리코,신성이엔지,신세계,신세계인터내셔날,신한지주,쌍용양회공업,쌍용자동차,아모레퍼시픽그룹,아모레퍼시픽,아세아,아이에스동서,알루코,알바이오,애경산업,에스엘,에스원,에이블씨엔씨,엔씨소프트,엔케이,영원무역,영진약품,영풍,오뚜기,오리온,오리온홀딩스,하나은행,우리금융지주,우리은행,웅진에너지,유니드,유니온스틸,유수홀딩스,유한양행,율촌화학,이노션,이마트,이수화학,인디에프,일동홀딩스,일성신약,일신방직,일양약품,일진디스플,일진머티리얼즈,일진전기,자화전자,한국전기초자,제일기획,제일모직,제일파마홀딩스,조광피혁,조선내화,종근당,종근당홀딩스,카카오,카프로,아진카인텍,케이피케미칼,코리아써키트,코스맥스,코스맥스비티아이,코오롱,코오롱인더,코웨이,쿠쿠홀딩스,큐로,크라운해태홀딩스,태광산업,파미셀,팜스코,팬오션,퍼시스,포스코인터내셔널,포스코플랜텍,풍산,하나금융지주,하이트맥주,하이트진로,하이트진로홀딩스,한국가스공사,한국금융지주,한국기술산업,한국단자공업,한국쉘석유,한국전력공사,한국제지,한국조선해양,한국철강,한국카본,한국콜마,한국타이어앤테크놀로지,한국테크놀로지그룹,한국항공우주,한독,한라홀딩스,한미반도체,한미사이언스,한미약품,한샘,한섬,한세실업,한솔케미칼,한솔테크닉스,한솔홀딩스,한온시스템,한올바이오파마,한일현대시멘트,한일홀딩스,한전KPS,한전기술,한진중공업,한진중공업홀딩스,한화,한화생명,한화솔루션,한화에어로스페이스,한화화인케미칼,현대건설,현대그린푸드,현대글로비스,현대로템,현대리바트,현대모비스,현대미포조선,현대백화점,현대상선,현대엘리베이터,현대위아,현대제철,현대중공업지주,케이비증권,현대자동차,현대하이스코,현대해상,현대홈쇼핑,호텔신라,화신,효성,효성중공업,후성,휠라홀딩스,휴비스,휴켐스
20150618,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150619,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150620,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150621,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150622,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150623,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150624,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150625,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150626,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150627,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150628,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O
20150629,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150630,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150701,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150702,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150703,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150704,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150705,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
20150706,X,X,X,O,O,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,O,X,O,O
